career,skills
QA Engineer,automation testing | mobile testing | manual testing | agile | bdd | selenium | ci/cd | postman | sql | git | bug reporting | performance testing | jmeter | test case design | cypress | playwright
AI Safety Engineer,risk assessment | stakeholder engagement | bias detection | communication | ethics | llms | red teaming | policy understanding | machine learning | safety engineering | mathematics | deep learning | testing | documentation | alignment research | research | robustness testing | interpretability
Ruby Developer,mvc architecture | caching | ruby on rails | sql | redis | sidekiq | cloud | html | rspec | postgresql | authentication | css | api design | git | rest api
Salesforce Developer,einstein analytics | lightning web components | metadata api | salesforce dx | salesforce | cpq | git | visualforce | integration | salesforce administration | crm knowledge | apex | community cloud | batch processing | javascript | soql
QA Engineer,bdd | selenium | sql | performance testing | bug reporting | test planning | postman | mobile testing | test case design | jmeter | ci/cd | automation testing | api testing | playwright | manual testing | python | agile | git
Quantitative Analyst,excel | statistics | monte carlo simulation | mathematics | numpy | portfolio management | python | derivatives | machine learning | optimization | bloomberg terminal | sql | time series analysis | pandas | financial modeling
Full Stack Machine Learning Engineer,kubernetes | typescript | testing | cloud | postgresql | python | feature engineering | react | mlops | sql | deep learning | redis | ci/cd | model deployment | docker | machine learning
Frontend Developer,webpack | next.js | angular | sass | react | accessibility | graphql | web security | pwa | typescript | responsive design | testing | html | css | rest api | performance optimization | git
Python Developer,git | numpy | postgresql | pydantic | sqlalchemy | pytest | flask | celery | redis | pandas | docker | cloud | python | testing | fastapi | sql | linux
Fullstack Developer,docker | graphql | authentication | react | cloud | ci/cd | websockets | typescript | next.js | css | rest api | javascript | git | html | mongodb
Solutions Engineer,solution architecture | crm | python | pre-sales | scripting | communication | use case development | presentation skills | cloud | stakeholder management | troubleshooting | rest api | customer success | product knowledge | security | sql | docker
IT Manager,disaster recovery | change management | sla management | vendor management | asset management | it leadership | capacity planning | procurement | strategic planning | it governance | itil | compliance | communication | networking | performance management
Automation Engineer,rest api testing | testing | git | agile | java | selenium | monitoring | performance testing | test frameworks | python | docker | jenkins | cucumber | linux | bdd | ansible
Game Developer,physics simulation | level design | animation | unreal engine | performance optimization | ai behavior | git | particle systems | shader programming | unity | game analytics | multiplayer networking | version control | game design | audio design | asset pipeline | 3d modeling | c++
Data Analyst,etl | looker | data visualization | dax | google analytics | google sheets | business acumen | r | pivot tables | data cleaning | pandas | power bi | statistics | storytelling with data | sql | excel | tableau
Full Stack Machine Learning Engineer,postgresql | kubernetes | testing | cloud | redis | deep learning | mlops | react | rest api | fastapi | machine learning | monitoring | docker | git | sql | typescript | model deployment | python
Java Developer,redis | gradle | reactive programming | kubernetes | junit | multithreading | design patterns | rest api | java | sql | git | spring security | microservices | kafka | cloud | hibernate | maven
Data Governance Analyst,gdpr | compliance | stakeholder management | metadata management | data quality | power bi | data policies | data stewardship | sql | data architecture | data catalog | communication | documentation | excel | risk management
